bairro_origem,bairro_destino,logradouro,observacao,peso
Jaqueira,Tamarineira, Av. Conselheiro Rosa e Silva, ,3
Jaqueira,Parnamirim, Av. Rui Barbosa, ,3
Jaqueira,Santana, R. Afonso de Albuquerque Melo, ,1
Macaxeira,Nova Descoberta, R. Antonio Carneiro, ,1
Mangabeira,Casa Amarela, R. Monte Horebe, ,1
Mangabeira,Tamarineira, R. da Mangabeira, ,1
Monteiro,Poço, R. Tapacura, ,1
Monteiro,Iputinga, Pte. Jaime Gusmao, ,2
Morro Da Conceição,Vasco Da Gama, R. Dois de Fevereiro, ,1
Nova Descoberta,Vasco Da Gama, R. Grijalva Costa, ,1
Parnamirim,Santana, Leonardo Bezerra Cavalcanti, ,1
Parnamirim,Torre, Pte. Do Vitem, ,2
Parnamirim,Tamarineira, R. Desembargador Goes Cavalcanti, ,1
Poço,Santana, R. Eng. Jair Furtado Meireles, ,1
Caxangá,Sítio Dos Pintos,R. do Sitio Sao Bras,,1
Caxangá,Iputinga,R. Quipapá,,1
Cidade Universitária,Engenho Do Meio,R. Costa Sepulveda,,1
Cidade Universitária,Várzea,R. Acdo. Hélio Ramos,,1
Cidade Universitária,Iputinga,R. Mauriceia,,1
Cidade Universitária,Curado,Av. Prof. Luiz Freire,,3
Cordeiro,Santana,Pte. Psa. Santana Vila Santa Luzia,,2
Cordeiro,Torre,R. Tomaz Gonzaga,,1
Cordeiro,Zumbi,R. Ribeiro Roma,,1
Cordeiro,San Martin,R. Quinze de Marco,,1
Cordeiro,Prado,R. Secundino Carneiro,,1
Cordeiro,Torrões,Av. 16 de Outubro,,3
Cordeiro,Engenho Do Meio,R. Presidente Washington Luiz,,1
Cordeiro,Iputinga,Av. Camarão,,3
Engenho Do Meio,Torrões,Av. Bicentenário da Ver. Francesa,,3
Engenho Do Meio,Iputinga,R. Bom Pastor,,1
Ilha Do Retiro,Madalena,Estrada dos Remédios,,5
Ilha Do Retiro,Ilha Joana Bezerra,R. Pref. Jorge Martins,,1
Ilha Do Retiro,Prado,Abdias de Carvalho,,1
Ilha Do Retiro,Afogados,R. Cosme Viana,,1
Iputinga,Várzea,R. João Sales de Menezes,,1
Madalena,Prado,R. Prof. Lins e Silva,,1
Madalena,Torre,R. Real da Torre,,1
Madalena,Zumbi,R. Visc. de Uruguai,,1
Prado,Bongi,R. Santa Edwirges,,1
Prado,Jiquiá,R. Dr. Severino Jatobá,,1
Prado,Zumbi,R. Gomes Taborda,,1
Torre,Zumbi,R. Souza Bandeira,,1
Torrões,San Martin,R. Delmiro Gouveia,,1
Várzea,Caxangá,Av. Afonso Olindense,,3
Afogados,Bongi,Estrada do Bongi,,5
Afogados,Cabanga,Avenida Governador Cid Sampaio,,3
Afogados,Mangueira, Avenida central,,3
Afogados,Mustardinha,Av. Mustardinha,,3
Afogados,Prado,Rua Padre Teófilo Tworz,,1
Afogados,Imbiribeira,Ponte Motocolombó,,2
Afogados,Jiquiá,Ponte do Jiquia,,2
Afogados,San Martin,Rua vinte e um de abril,,1
Areias,Ibura,Avenida Recife,,3
Areias,Estância,Avenida Estância,,3
Areias,Jardim São Paulo,Rua jose natario,,1
Areias,Caçote,Rua Aurora Caçote,,1
Areias,Barro,Avenida dr josé rufino,,3
Barro,Tejipió,R. Falcao de Lacerda,,1
Barro,Ibura, R. Desembargador Pedro Ribeiro Malta,,1
Barro,Cohab,Avenida Doze de junho,,3
Barro,Jardim São Paulo, R. Realeza,,1
Bongi,Mustardinha,Rua dr joão costa,,1
Bongi,San Martin, R. Itapemirim,,1
Coqueiral,Sancho,Rua Paulino de Farias,,1
Coqueiral,Tejipió,Rua Aprígio GUimarães,,1
Coqueiral,Totó,Rua da Encosta,,1
Curado,Engenho Do Meio,Avenida Visc. de São Leopoldo,,3
Curado,Torrões,R. Dr. Flavio Ferreira da Silva Marajo,,1
Curado,Várzea,Rua Historiador Luiz do Nascimento,,1
Curado,Jardim São Paulo,Estr. do Curado,,5
Curado,Sancho,Avenida Liberdade,,3
Curado,Iputinga,Rua Onze de Agosto,,1
Curado,Totó,Rua Mte. Antônio Valeriano,,1
Curado,San Martin,Rua Paudalho,,1
Estância,Jardim São Paulo,Rua Nossa Senhora de Fátima,,1
Estância,Jiquiá,R. Joao Teixeira,,1
Jiquiá,Mangueira,R. Bom Jardim,,1
Jiquiá,San Martin,R. Arsenio Calaca,,1
Jiquiá,Jardim São Paulo,R. Coronel Fernando Machado,,1
Jiquiá,Areias,Rua Parente Viana,,1
Mangueira,Mustardinha,Av. Manoel Goncalves da Luz,,3
Mangueira,San Martin, R. Ten. Mindelo,,1
Mustardinha,San Martin,Avenida Consul Villares,,3
San Martin,Prado,Av. General San Martin,,3
Sancho,Tejipió,Rua do Sancho,,1
Sancho,Totó,R do Nascente,,1
Jardim São Paulo,Tejipió,R. Leandro Barreto,,1
Curado,Tejipió,Av. Padre Ibiapina,,3
Boa Viagem,Jordão,Avenida Centenário Alverto Santos Dumont,,3
Boa Viagem,Pina,Avenida Engenheiro Domingos Ferreira,,3
Boa Viagem,Ibura,Avenida Mal Mascarenhas De Moraes,,3
Boa Viagem,Imbiribeira,Rua Ernesto de Paula Santos,,1
Brasília Teimosa,Pina,Rua Francisco Valpassos,,1
Pina,Imbiribeira,Viaduto Dom João VI,,1
Jordão,Ibura,Avenida Centenário Alberto Santos Dumont ,,3
Imbiribeira,Ipsep,R. Pampulha,,1
Ibura,Imbiribeira,Avenida Presidente Dutra,,3
Ibura,Ipsep,R. Sao Nicolau,,1
Cohab,Ibura, Av. Dois Rios,,3
Cohab,Jordão,R. Jaguaretama,,1
